Source_IP,Destination_IP,Protocol,Packet_Size,Flow_Duration,Bytes_Per_Second,Login_Attempts,API_Requests,Unauthorized_Access,Malware_Attack,DDoS_Attack,Abnormal_Data_Transfer_MB,Encrypted_Traffic_Ratio,Failed_Auth_Attempts,TCP_Flags,Suspicious_IP_Flag,Port_Scan_Activity,Suspicious_DNS_Request,Anomalous_Behavior_Score,Object_Type
192.168.1.175,10.0.0.177,TCP,998,3262,6274.65,21,80,0,0,0,703,0.66,8,ACK,0,1,0,0.79,Normal
192.168.1.35,10.0.0.82,UDP,1352,361,5664.58,16,161,0,0,0,8709,0.86,15,URG,0,0,0,0.54,Normal
192.168.1.206,10.0.0.65,TCP,809,2282,10210.93,10,66,0,0,0,8526,0.4,7,URG,0,0,0,0.41,Normal
192.168.1.81,10.0.0.83,UDP,351,17251,10939.43,21,126,0,0,0,1047,0.01,3,PSH,0,0,0,0.62,Normal
192.168.1.164,10.0.0.182,ICMP,483,14659,1545.69,43,107,0,0,0,4713,0.51,4,URG,0,0,0,0.07,Normal
192.168.1.50,10.0.0.189,TCP,203,9078,13469.12,43,58,1,0,0,2284,0.02,4,SYN,0,0,0,0.08,Unauthorized Access
192.168.1.104,10.0.0.136,ICMP,770,4204,8405.83,35,154,0,0,0,9142,0.91,21,PSH,0,0,0,0.8,Normal
192.168.1.132,10.0.0.131,TCP,761,13709,17791.69,40,99,0,1,0,2120,0.45,20,FIN,1,0,0,0.93,Malware Attack
192.168.1.2,10.0.0.250,ICMP,1050,18786,17711.59,45,28,0,0,0,453,0.02,10,RST,0,0,0,0.04,Normal
192.168.1.254,10.0.0.25,ICMP,538,3334,14404.65,43,171,0,0,0,9805,0.48,23,FIN,0,0,0,0.27,Normal
192.168.1.134,10.0.0.250,UDP,452,11153,17077.13,41,75,0,0,0,7056,0.58,13,URG,0,0,0,0.92,Normal
192.168.1.54,10.0.0.69,TCP,574,6271,18451.06,39,110,0,0,0,2871,0.91,13,RST,0,0,0,0.95,Normal
192.168.1.106,10.0.0.183,UDP,601,1442,11550.8,2,16,0,0,0,9755,0.23,8,PSH,0,0,0,0.37,Normal
192.168.1.4,10.0.0.168,ICMP,276,490,19438.41,26,89,0,0,0,8764,0.57,22,FIN,0,0,0,0.4,Normal
192.168.1.54,10.0.0.211,TCP,960,2980,19108.42,44,23,0,0,0,6209,0.53,7,FIN,0,0,1,0.26,Normal
192.168.1.221,10.0.0.82,ICMP,1352,1675,2206.55,47,187,0,0,0,2973,0.11,1,PSH,0,0,0,0.42,Normal
192.168.1.191,10.0.0.178,ICMP,1430,16722,10459.87,12,103,0,0,0,6571,0.96,5,RST,0,0,0,0.25,Normal
192.168.1.146,10.0.0.117,ICMP,1125,19648,2298.2,12,35,0,1,0,8759,0.31,6,ACK,0,0,0,0.12,Malware Attack
192.168.1.218,10.0.0.95,ICMP,296,14275,13685.83,29,125,0,1,1,2155,0.72,1,URG,0,1,0,0.58,Malware Attack
192.168.1.44,10.0.0.33,UDP,323,8618,15307.86,17,169,0,0,0,2032,0.79,10,SYN,0,1,0,0.66,Normal
192.168.1.162,10.0.0.111,ICMP,371,7260,17694.71,39,117,0,0,0,2249,0.69,17,SYN,0,0,0,0.82,Normal
192.168.1.202,10.0.0.146,UDP,466,18695,13003.69,32,109,0,0,0,8000,0.12,19,ACK,0,0,0,0.57,Normal
192.168.1.190,10.0.0.125,ICMP,1060,954,9085.32,16,97,0,0,1,1634,0.38,7,ACK,0,0,1,0.37,DDoS Attack
192.168.1.228,10.0.0.185,TCP,1348,2062,3127.18,40,150,0,0,0,9808,0.83,14,RST,0,0,0,0.47,Normal
192.168.1.14,10.0.0.231,ICMP,813,10552,2510.83,9,74,1,0,0,9697,0.82,16,PSH,0,0,0,0.26,Unauthorized Access
192.168.1.95,10.0.0.16,ICMP,1193,7713,9718.49,40,129,0,0,0,356,0.24,23,RST,0,0,0,0.82,Normal
192.168.1.48,10.0.0.80,TCP,1334,1461,16652.63,43,46,0,0,0,1272,0.54,3,ACK,0,0,0,0.16,Normal
192.168.1.15,10.0.0.239,TCP,367,11213,15016.87,23,102,1,0,0,695,0.82,10,RST,0,0,0,0.8,Unauthorized Access
192.168.1.200,10.0.0.38,ICMP,406,10985,17617.23,41,22,0,0,0,6799,0.61,1,PSH,0,0,0,0.03,Normal
192.168.1.206,10.0.0.169,ICMP,1125,7928,16221.69,28,32,0,0,0,4420,0.21,23,ACK,0,0,0,0.18,Normal
192.168.1.215,10.0.0.135,UDP,918,13975,4117.28,7,158,0,0,0,116,0.8,0,RST,0,0,0,0.09,Normal
192.168.1.252,10.0.0.78,TCP,1133,1596,4014.48,35,87,0,0,0,3532,0.83,10,SYN,0,0,0,0.22,Normal
192.168.1.249,10.0.0.235,TCP,1307,16783,9165.69,13,43,0,0,0,9743,0.92,10,RST,0,0,0,0.97,Normal
192.168.1.190,10.0.0.181,UDP,319,3738,3831.2,28,111,0,0,0,9543,0.84,15,SYN,0,0,0,0.02,Normal
192.168.1.40,10.0.0.63,ICMP,200,12309,3757.61,6,12,0,0,1,3909,0.63,4,FIN,0,0,0,0.48,DDoS Attack
192.168.1.213,10.0.0.112,ICMP,1318,6490,5362.9,24,83,0,0,0,8299,0.47,4,PSH,0,0,0,0.52,Normal
192.168.1.208,10.0.0.89,TCP,881,19048,461.12,41,199,0,0,0,2636,1.0,12,PSH,0,0,0,0.49,Normal
192.168.1.237,10.0.0.160,UDP,1036,14474,11431.14,29,155,0,0,0,6822,0.98,10,URG,0,0,0,0.51,Normal
192.168.1.82,10.0.0.38,ICMP,101,4116,7938.17,27,154,0,0,0,5171,0.48,4,PSH,0,0,0,0.8,Normal
192.168.1.111,10.0.0.150,TCP,1242,8691,4755.54,9,146,0,0,0,3019,0.76,19,URG,0,0,0,0.58,Normal
192.168.1.53,10.0.0.251,ICMP,168,18713,2693.14,46,92,0,0,0,3373,0.34,0,RST,1,0,0,0.6,Normal
192.168.1.24,10.0.0.144,ICMP,318,11130,9122.45,46,75,0,0,1,1750,0.19,23,SYN,0,0,0,0.51,DDoS Attack
192.168.1.154,10.0.0.52,ICMP,1491,11365,12043.15,33,194,0,0,0,4615,0.91,5,RST,0,0,0,0.04,Normal
192.168.1.217,10.0.0.29,TCP,551,6162,19465.81,15,81,0,0,0,9117,0.04,16,FIN,0,0,0,0.27,Normal
192.168.1.252,10.0.0.144,UDP,521,19328,5083.94,9,189,0,0,0,2763,0.74,12,SYN,0,0,0,0.25,Normal
192.168.1.188,10.0.0.76,UDP,591,19217,536.43,28,174,0,0,0,4977,0.84,19,FIN,0,0,0,0.23,Normal
192.168.1.124,10.0.0.145,ICMP,654,2515,14722.94,14,29,0,1,0,4831,0.72,12,ACK,0,0,1,0.24,Malware Attack
192.168.1.237,10.0.0.229,UDP,588,14796,4711.04,27,160,0,1,0,1200,0.88,19,URG,0,0,0,0.03,Malware Attack
192.168.1.41,10.0.0.64,ICMP,433,7808,9690.43,23,143,0,0,1,9432,0.27,3,PSH,0,0,0,0.03,DDoS Attack
192.168.1.157,10.0.0.91,TCP,165,6944,16166.42,41,188,0,0,0,8929,0.79,9,RST,0,0,0,1.0,Normal
192.168.1.15,10.0.0.89,TCP,979,9013,749.17,19,156,0,0,0,948,0.71,10,RST,1,0,0,0.59,Normal
192.168.1.45,10.0.0.13,TCP,727,16449,2838.97,46,155,0,0,1,717,0.99,1,RST,0,0,0,0.49,DDoS Attack
192.168.1.65,10.0.0.72,ICMP,753,8909,1972.54,28,169,0,0,0,1247,0.91,13,URG,0,0,0,0.21,Normal
192.168.1.89,10.0.0.184,UDP,662,14724,4682.19,1,115,0,0,0,5516,0.06,23,RST,0,0,0,0.99,Normal
192.168.1.71,10.0.0.5,TCP,663,15871,3468.91,45,47,0,0,0,3147,0.13,20,FIN,1,0,0,0.1,Normal
192.168.1.9,10.0.0.12,ICMP,604,17403,6338.87,31,33,0,0,0,96,1.0,13,RST,0,0,0,0.8,Normal
192.168.1.88,10.0.0.169,UDP,452,3326,14928.63,46,44,0,1,0,552,0.61,0,PSH,0,0,0,0.87,Malware Attack
192.168.1.129,10.0.0.3,UDP,426,13069,856.45,41,50,1,0,0,7592,0.09,22,RST,0,0,0,0.59,Unauthorized Access
192.168.1.236,10.0.0.227,UDP,994,3499,1484.54,29,10,0,1,0,3881,0.33,8,PSH,0,0,0,0.51,Malware Attack
192.168.1.136,10.0.0.33,ICMP,675,9602,11290.83,8,152,0,0,0,8959,0.38,7,RST,1,0,0,0.49,Normal
192.168.1.216,10.0.0.121,ICMP,1202,15211,10409.99,18,122,0,0,0,868,0.07,5,FIN,0,0,1,0.84,Normal
192.168.1.63,10.0.0.214,ICMP,785,17587,9486.76,5,34,0,0,0,6659,0.62,6,URG,1,0,0,0.96,Normal
192.168.1.139,10.0.0.50,TCP,406,5004,10323.02,7,107,0,0,0,2860,0.95,20,SYN,0,1,0,0.97,Normal
192.168.1.243,10.0.0.184,ICMP,1161,7516,14843.36,33,91,0,0,0,1841,0.7,5,PSH,0,0,0,0.02,Normal
192.168.1.81,10.0.0.236,TCP,198,1507,11526.52,0,20,0,0,0,1551,0.86,17,ACK,0,0,0,0.97,Normal
192.168.1.136,10.0.0.137,TCP,1003,9452,9144.89,12,25,0,0,1,2552,0.92,22,PSH,0,1,0,0.81,DDoS Attack
192.168.1.163,10.0.0.233,TCP,1041,2420,1644.2,5,55,1,0,0,9214,0.98,12,RST,1,0,0,0.16,Unauthorized Access
192.168.1.163,10.0.0.210,ICMP,443,11752,19495.67,34,171,0,0,0,5436,0.81,7,URG,0,0,1,0.28,Normal
192.168.1.33,10.0.0.178,TCP,1212,8676,4794.28,28,181,0,0,0,2459,0.52,8,SYN,0,0,0,0.8,Normal
192.168.1.123,10.0.0.29,ICMP,101,19960,17384.47,1,178,0,0,0,5764,0.07,14,FIN,0,0,0,0.17,Normal
192.168.1.5,10.0.0.39,ICMP,844,6937,7585.76,9,55,0,0,0,71,0.05,6,URG,0,0,0,0.36,Normal
192.168.1.234,10.0.0.91,TCP,373,15431,13681.89,30,141,0,0,0,4855,0.76,19,PSH,0,0,1,0.29,Normal
192.168.1.231,10.0.0.100,TCP,169,8472,9088.05,7,177,0,0,0,7333,0.25,10,URG,0,0,0,0.18,Normal
192.168.1.250,10.0.0.173,TCP,619,6027,7089.71,40,124,0,0,1,2666,0.41,5,FIN,0,0,0,0.59,DDoS Attack
192.168.1.41,10.0.0.17,ICMP,1312,7015,12289.96,38,138,0,0,0,4220,0.8,21,SYN,0,0,0,0.37,Normal
192.168.1.28,10.0.0.56,ICMP,1329,19945,10726.77,27,92,0,0,1,1898,0.62,22,PSH,0,0,0,0.03,DDoS Attack
192.168.1.135,10.0.0.226,TCP,460,14119,4656.32,30,11,1,1,0,6674,0.8,11,FIN,0,0,0,0.42,Unauthorized Access
192.168.1.201,10.0.0.46,TCP,216,4467,6731.47,12,122,0,0,0,8296,0.55,20,SYN,1,0,0,0.88,Normal
192.168.1.72,10.0.0.67,UDP,599,9196,697.19,6,119,0,0,0,7615,0.2,3,SYN,0,0,0,0.68,Normal
192.168.1.12,10.0.0.197,TCP,1059,17162,3879.74,0,84,0,0,0,1640,0.78,23,RST,0,0,0,0.11,Normal
192.168.1.162,10.0.0.142,UDP,1029,13340,6723.3,44,100,0,0,0,3296,0.71,3,FIN,0,0,0,0.6,Normal
192.168.1.33,10.0.0.67,UDP,1489,5084,19442.7,48,20,0,0,0,1877,0.51,7,ACK,0,1,0,0.01,Normal
192.168.1.48,10.0.0.23,ICMP,1233,9133,10546.51,43,72,0,0,0,8252,0.56,3,RST,0,0,0,0.01,Normal
192.168.1.247,10.0.0.231,ICMP,1278,14308,14018.92,25,79,0,0,0,2592,0.06,18,SYN,0,0,0,0.12,Normal
192.168.1.151,10.0.0.94,UDP,956,14807,13475.27,45,83,0,0,0,905,0.71,8,FIN,0,0,0,0.79,Normal
192.168.1.62,10.0.0.242,UDP,646,7201,19617.95,15,48,0,0,0,4303,0.75,12,PSH,0,0,0,0.23,Normal
192.168.1.216,10.0.0.237,TCP,264,7558,11117.75,11,76,1,0,1,3368,0.67,2,FIN,0,1,0,0.44,Unauthorized Access
192.168.1.37,10.0.0.189,UDP,75,19362,11714.03,15,145,0,0,0,4222,0.45,15,URG,0,0,0,0.12,Normal
192.168.1.99,10.0.0.151,TCP,1139,13074,6008.4,33,33,0,0,0,1136,0.02,15,ACK,0,0,0,0.77,Normal
192.168.1.172,10.0.0.155,ICMP,831,2669,12526.1,26,20,0,0,0,9096,0.65,12,SYN,0,0,0,0.9,Normal
192.168.1.104,10.0.0.54,TCP,1389,643,15156.91,24,174,0,0,0,1821,0.76,19,ACK,0,0,0,0.88,Normal
192.168.1.214,10.0.0.138,ICMP,1387,15726,2074.04,18,31,0,0,0,2510,0.37,2,PSH,0,0,0,0.24,Normal
192.168.1.219,10.0.0.217,UDP,983,3238,9607.69,6,102,0,0,0,4901,0.41,8,URG,0,0,0,0.24,Normal
192.168.1.35,10.0.0.77,UDP,584,17642,8443.79,11,179,0,0,0,2114,0.17,1,SYN,0,0,0,0.98,Normal
192.168.1.193,10.0.0.16,UDP,1227,17376,2280.55,45,120,0,0,0,1617,0.64,4,RST,0,0,0,0.74,Normal
192.168.1.227,10.0.0.41,TCP,163,2520,6832.34,23,83,0,0,0,9656,0.78,16,FIN,0,0,0,0.03,Normal
192.168.1.101,10.0.0.98,ICMP,1224,15626,10708.22,49,19,0,0,0,9119,0.6,7,RST,0,0,0,0.5,Normal
192.168.1.175,10.0.0.183,ICMP,934,999,13000.89,38,62,0,0,0,227,0.64,10,ACK,0,1,0,0.63,Normal
192.168.1.206,10.0.0.128,ICMP,429,1626,5785.0,4,172,0,0,0,6391,0.87,20,SYN,0,0,0,0.2,Normal
192.168.1.131,10.0.0.229,ICMP,720,8626,9531.23,0,166,1,0,0,7215,0.92,0,PSH,0,0,0,0.27,Unauthorized Access
192.168.1.1,10.0.0.61,ICMP,224,9632,14684.25,6,49,1,0,0,55,0.68,6,PSH,0,1,0,0.97,Unauthorized Access
192.168.1.5,10.0.0.86,TCP,824,18029,8450.73,47,65,0,0,1,1711,0.17,6,ACK,0,1,0,0.83,DDoS Attack
192.168.1.218,10.0.0.209,ICMP,238,12402,18816.05,25,11,0,0,1,7796,0.12,10,RST,0,0,0,0.01,DDoS Attack
192.168.1.247,10.0.0.215,UDP,1175,6405,623.82,23,27,0,0,0,9349,0.84,18,PSH,0,0,0,0.58,Normal
192.168.1.142,10.0.0.118,ICMP,1486,5228,5211.94,47,58,0,0,0,8128,0.65,9,ACK,0,0,1,0.41,Normal
192.168.1.103,10.0.0.100,UDP,608,16571,2676.49,16,192,0,0,0,8117,0.22,9,ACK,0,0,0,0.55,Normal
192.168.1.27,10.0.0.49,TCP,540,13586,10830.4,3,193,0,0,0,7054,0.21,12,RST,0,0,0,0.78,Normal
192.168.1.137,10.0.0.201,TCP,346,5261,3555.7,15,15,0,0,1,3132,0.05,22,SYN,0,1,0,0.07,DDoS Attack
192.168.1.207,10.0.0.180,UDP,1020,13520,14839.39,35,82,0,0,0,6093,0.51,3,PSH,0,0,0,0.74,Normal
192.168.1.15,10.0.0.2,ICMP,515,729,18367.82,4,89,0,0,0,8763,0.12,11,ACK,0,1,0,0.76,Normal
192.168.1.90,10.0.0.224,TCP,145,3138,4151.92,4,1,0,0,0,4975,0.39,2,PSH,0,0,0,0.62,Normal
192.168.1.42,10.0.0.120,TCP,1300,14607,18136.19,42,19,0,0,0,9177,0.2,19,RST,0,0,0,0.34,Normal
192.168.1.124,10.0.0.178,TCP,879,2799,12638.79,45,184,0,0,0,2128,0.73,14,FIN,0,0,0,0.46,Normal
192.168.1.205,10.0.0.245,ICMP,583,11758,3931.45,16,192,0,0,0,4051,0.01,12,ACK,0,0,0,0.46,Normal
192.168.1.179,10.0.0.123,UDP,197,15316,14733.54,40,34,0,0,0,1189,0.38,24,RST,0,0,0,0.17,Normal
192.168.1.63,10.0.0.86,UDP,510,12605,1826.56,20,64,0,0,0,1001,0.04,13,RST,0,0,0,0.35,Normal
192.168.1.96,10.0.0.171,ICMP,181,6910,13846.04,29,10,0,0,0,9286,0.05,9,SYN,0,0,0,0.67,Normal
192.168.1.231,10.0.0.77,TCP,1330,617,17226.61,48,76,0,1,0,6171,0.1,12,URG,1,0,0,0.12,Malware Attack
